what,kind,bundleId,bundleVersion,description,time
started,bundle,com.google.gdt.eclipse.designer,2.4.2.r37x201110181239,"com.google.gdt.eclipse.designer",1477974230094
started,bundle,com.google.gdt.eclipse.designer.GXT,2.4.2.r37x201110181249,"com.google.gdt.eclipse.designer.GXT",1477974230095
started,bundle,com.google.gdt.eclipse.designer.SmartGWT,2.4.2.r37x201110181249,"com.google.gdt.eclipse.designer.SmartGWT",1477974230095
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.4.2.r37x201110181239,"com.google.gdt.eclipse.designer.UiBinder",1477974230096
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1477974230097
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1477974230099
started,bundle,org.eclipse.wb.core,1.2.0.r37x201109270310,"org.eclipse.wb.core",1477974230101
started,bundle,org.eclipse.wb.core.lib,1.2.0.r37x201109270310,"org.eclipse.wb.core.lib",1477974230102
started,bundle,org.eclipse.wb.discovery.core,1.2.0.r37x201109270333,"org.eclipse.wb.discovery.core",1477974230102
started,bundle,org.eclipse.wb.discovery.ui,1.2.0.r37x201109270333,"org.eclipse.wb.discovery.ui",1477974230102
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1477974230102
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1477974230103
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1477974230103
os,sysinfo,,,"win32",1477974230106
arch,sysinfo,,,"x86",1477974230106
ws,sysinfo,,,"win32",1477974230106
locale,sysinfo,,,"zh_CN",1477974230106
processors,sysinfo,,,"4",1477974230106
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1477974230106
java.runtime.version,sysinfo,,,"1.6.0_30-b12",1477974230106
java.specification.name,sysinfo,,,"Java Platform API Specification",1477974230106
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1477974230106
java.specification.version,sysinfo,,,"1.6",1477974230106
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1477974230106
java.version,sysinfo,,,"1.6.0_30",1477974230106
java.vm.info,sysinfo,,,"mixed mode",1477974230106
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1477974230106
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1477974230106
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1477974230106
java.vm.specification.version,sysinfo,,,"1.0",1477974230106
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1477974230106
java.vm.version,sysinfo,,,"20.5-b03",1477974230106
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1477974230110
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1477974230846
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974243688
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1477974269399
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1477974276358
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1477974281669
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1477974282131
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1477974284455
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1477974289435
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974295657
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974298701
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1477974306566
error,log,,,"",1477974310526
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1477974310607
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477974310657
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1477974310699
